,name,figi,ticker,class_code,isin,currency,lot,cap
0,Владимирский хим завод,BBG000PTLZD3,VLHZ,TQBR,RU0007984761,rub,10,1.14
1,Детский Мир,BBG000BN56Q9,DSKY,TQBR,RU000A0JSQ90,rub,10,46.35
5,РОСБАНК,BBG000PND2J2,ROSB,TQBR,RU000A0HHK26,rub,10,146.14
7,Мостотрест,BBG004S68DD6,MSTT,TQBR,RU0009177331,rub,10,54.98
8,Самараэнерго,BBG000NLDS29,SAGO,TQBR,RU0009098255,rub,1000,12.79
9,ТНС энерго Кубань,BBG000BSCKB5,KBSB,TQBR,RU000A0JNJ11,rub,10,08.04
10,Рязанская энергетическая сбытовая компания,BBG000FJ81J0,RZSB,TQBR,RU000A0D9AF5,rub,100,6.97
11,Эн+,BBG000RMWQD4,ENPG,TQBR,RU000A100K72,rub,1,284.29
12,Polymetal,BBG004PYF2N3,POLY,TQBR,JE00B6T5S470,rub,1,261.75
14,Нижнекамскнефтехим (привилегированные),BBG000GQSVC2,NKNCP,TQBR,RU0006765096,rub,10,190.27
16,Магнитогорский металлургический комбинат,BBG004S68507,MAGN,TQBR,RU0009084396,rub,10,573.91
21,Positive Technologies,TCS00A103X66,POSI,TQBR,RU000A103X66,rub,1,131.89
23,Камчатскэнерго - привилегированные акции,BBG000J5X8M9,KCHEP,TQBR,RU0006753480,rub,10000,28.48
25,ФосАгро,BBG004S689R0,PHOR,TQBR,RU000A0JRKT8,rub,1,868.95
27,МРСК Сибири,BBG000VJMH65,MRKS,TQBR,RU000A0JPPF0,rub,10000,64.28
28,Костромская сбытовая компания,BBG000DBV7S0,KTSB,TQBR,RU000A0D8LW9,rub,1000,2.87
29,Яковлев,BBG000FWGSZ5,IRKT,TQBR,RU0006752979,rub,100,124.90
30,МРСК Волги,BBG000PKWCQ7,MRKV,TQBR,RU000A0JPPN4,rub,10000,10.66
33,Совкомфлот,BBG000R04X57,FLOT,TQBR,RU000A0JXNU8,rub,10,312.26
34,ВСМПО-АВИСМА,BBG004S68CV8,VSMO,TQBR,RU0009100291,rub,1,367.79
35,Объединенная авиастроительная корпорация,BBG000Q7ZZY2,UNAC,TQBR,RU000A0JPLZ7,rub,1000,640.86
36,Группа ЛСР,BBG004S68C39,LSRG,TQBR,RU000A0JPFP0,rub,1,67.65
39,Whoosh,TCS00A105EX7,WUSH,TQBR,RU000A105EX7,rub,1,23.04
41,Тамбовская энергосбытовая компания,BBG000MD2ST1,TASB,TQBR,RU000A0D8NG8,rub,1000,2.98
42,ВК,TCS00A106YF0,VKCO,TQBR,RU000A106YF0,rub,1,130.34
44,Россети Северо-Запад,BBG000TJ6F42,MRKZ,TQBR,RU000A0JPPB9,rub,10000,9.00
45,Таттелеком,BBG000RJL816,TTLK,TQBR,RU000A0HM5C1,rub,1000,19.18
